project,https://www.archdaily.com/910613/norval-foundation-dhk-architects?ad_medium=gallery
architects,dhk Architects
city,Cape Town
material,"recast concrete, natural timber, granite and glass"
floorplan,https://images.adsttc.com/media/images/5c53/1243/284d/d117/0200/02fa/slideshow/dhk_Norval_Foundation_Site_Plan.jpg?1548947980
facade,https://images.adsttc.com/media/images/5c53/16c2/284d/d12a/6f00/0088/slideshow/NorvalFoundation_WielandGleich_(3).jpg?1548949170
interior,https://images.adsttc.com/media/images/5c53/14fb/284d/d12a/6f00/0081/slideshow/Norval_Foundation_DaveSouthwood_(12).jpg?1548948676
birdview,https://images.adsttc.com/media/images/5c53/117b/284d/d12a/6f00/0073/slideshow/NorvalFoundationUnderConstruction_WielandGleich_(1).jpg?1548947818
