project,https://www.archdaily.com/452226/museo-soumaya-fr-ee-fernando-romero-enterprise?ad_medium=gallery
architects,FR-EE / Fernando Romero Enterprise
city,mexico city
material,mirrored-steel
interior,https://images.adsttc.com/media/images/5733/737f/e58e/ce51/5b00/001a/slideshow/07_Museo_Soumaya_FREE_Fernando_Romero_photo_Adam_Weisman.jpg?1462989687
interior2,https://images.adsttc.com/media/images/5733/72ee/e58e/ce51/5b00/0015/slideshow/06_Museo_Soumaya_FREE_Fernando_Romero_photo_Rafael_Gamo.jpg?1462989539
floorplan,https://images.adsttc.com/media/images/5733/73f6/e58e/cee0/7000/0023/slideshow/SOUMAYA_Floor_plan_01.jpg?1462989803
facade,https://images.adsttc.com/media/images/5295/42d3/e8e4/4ead/2a00/0016/slideshow/014_Soumaya_Image_by_Rafael_Gamo_05.jpg?1385513634
