project,https://archdaily.com/879763/zeitz-museum-of-contemporary-art-africa-heatherwick-studio?ad_medium=gallery
architects,Heatherwick Studio
city,Cape Town
material,Mineral Concrete
floorplan,https://images.adsttc.com/media/images/59bc/1887/b22e/38ff/0100/0384/slideshow/776_COMMS_Plan_Ground_Floor.jpg?1505499265
facade,https://images.adsttc.com/media/images/59bc/1848/b22e/38ff/0100/0382/slideshow/776_2_HR_ZeitzMOCAA_Heatherwick_Studio_Credit_Iwan_Baan_Exterior.jpg?1505499185
interior,https://images.adsttc.com/media/images/59bc/17a6/b22e/38ff/0100/037f/slideshow/776_4_HR_ZeitzMOCAA_HeatherwickStudio_Credit_Iwan_Baan_Atrium.jpg?1505499025
birdview,https://images.adsttc.com/media/images/59bc/182c/b22e/3813/9f00/0153/slideshow/776_1_HR_ZeitzMOCAA_HeatherwickStudio_Credit_Iwan_Baan_Harbour_view.jpg?1505499157
