project,https://www.archdaily.com/1012455/lourdes-gallery-joao-costa-nobrega-arquitecto
architects, Lek Viriyapant
city,Samut Prakan
material,hard stone
facade,https://img.atlasobscura.com/3-G0E6-wVPWuPUPc4WQDay4QeegrZM89MZMojTB_-zs/rs:fill:580:580:1/g:ce/q:81/sm:1/scp:1/ar:1/aHR0cHM6Ly9hdGxh/cy1kZXYuczMuYW1h/em9uYXdzLmNvbS91/cGxvYWRzL3BsYWNl/X2ltYWdlcy80MjJj/ZTdmZDg3NzNjZjNh/MTFfNzI1cHgtRXJh/d2FuX011c2V1bS5q/cGc.jpg
birdview,https://thesmartlocal.com/thailand/wp-content/uploads/2021/02/Erawan-3-headed-elephant.jpg
interior,https://afar.brightspotcdn.com/dims4/default/a205915/2147483647/strip/false/crop/1024x576+0+50/resize/1200x675!/quality/90/?url=https%3A%2F%2Fafar-media-production-web.s3.us-west-2.amazonaws.com%2Fbrightspot%2F9c%2F58%2F70d74dda7c85e8a912c85a4c3c34%2Foriginal-open-uri20121128-30667-fff8p4
interior2,https://www.muangboranmuseum.com/wp-content/uploads/2018/12/03-places-single_42.jpg
