project,https://www.archdaily.com/991347/chiang-mai-art-gallery-enter-projects-asia?ad_source=search&ad_medium=projects_tab
architects,Enter Projects Asia
city,Chiang Mai
material,wood
interior,https://images.adsttc.com/media/images/635b/ba89/8f6d/2038/cedf/99bd/slideshow/chiang-mai-art-gallery-enter-projects-asia_6.jpg?1666956049
interior2,https://images.adsttc.com/media/images/635b/ba80/be1c/8b7f/941a/6e45/slideshow/chiang-mai-art-gallery-enter-projects-asia_1.jpg?1666956001
floorplan,https://images.adsttc.com/media/images/635b/b939/be1c/8b5c/6502/a294/slideshow/plan-4.jpg?1666955599
facade,https://images.adsttc.com/media/images/635b/b9f9/be1c/8b7f/941a/6e43/slideshow/chiang-mai-art-gallery-enter-projects-asia_3.jpg?1666955949
