project,https://www.archdaily.com/909531/hacettepe-university-museum-and-center-for-biodiversity-erkal-architects
architects,Erkal Architects
city,Ankara
material,brick
floorplan,https://images.adsttc.com/media/images/5c3f/4808/284d/d125/fd00/00df/slideshow/plan1a-200.jpg?1547651071
facade,https://images.adsttc.com/media/images/5c3f/4b68/284d/d125/fd00/00f2/slideshow/-_Featured_Image.jpg?1547651929
interior,https://images.adsttc.com/media/images/5c3f/4c3a/284d/d125/fd00/00f8/slideshow/12_Yercekim-HacettepeBCM-DSCF4188_midi.jpg?1547652136
birdview,https://images.adsttc.com/media/images/5c3f/4d0e/284d/d15b/c600/00bf/slideshow/zz_dr_HacettepeBCM_DJI_0085x.jpg?1547652356
