project,https://www.archdaily.com/970006/shepparton-art-museum-denton-corker-marshall?ad_medium=gallery
architects,Denton Corker Marshall
city,Shepparton
material,metal
facade,https://images.adsttc.com/media/images/6165/3922/0e06/d232/471c/8ffe/slideshow/dcm-7521-a29.jpg?1634023739
interior,https://images.adsttc.com/media/images/6165/391d/1248/3401/6477/bc7a/slideshow/dcm-7521-a36.jpg?1634023730
interior2,https://images.adsttc.com/media/images/6165/3921/0e06/d232/471c/8ffd/slideshow/dcm-7521-a55.jpg?1634023765
birdview,https://images.adsttc.com/media/images/6165/3927/0e06/d232/471c/9000/slideshow/dcm-7521-a11.jpg?1634023747
