project,https://www.archdaily.com/1002751/istanbul-modern-museum-renzo-piano-building-workshop-plus-arup?ad_medium=gallery
architects,"Arup, Renzo Piano Building Workshop"
city,istanbul
material,"concrete, steel, and glass"
floorplan,https://images.adsttc.com/media/images/6491/dd24/5921/184c/5345/8ed4/slideshow/istanbul-modern-viewing-terrace-plan-36.jpg?1687280958
facade,https://images.adsttc.com/media/images/6491/db67/cb9c/462d/9410/b7ab/slideshow/istanbul-modern-museum-renzo-piano-building-workshop_8.jpg?1687280497
interior,https://images.adsttc.com/media/images/6491/db67/5921/1849/f5f0/3067/slideshow/istanbul-modern-museum-renzo-piano-building-workshop_3.jpg?1687280501
birdview,https://images.adsttc.com/media/images/6491/db89/5921/1849/f5f0/3075/slideshow/istanbul-modern-museum-renzo-piano-building-workshop_24.jpg?1687280535
