project,https://www.archdaily.cn/cn/796756/huo-bi-bo-wu-guan-costa-lopes?ad_source=search&ad_medium=projects_tab
architects,Costa Lopes
city,∞≤∏Á¿≠
material,steel
interior.jpg,https://www.archdaily.cn/cn/796756/huo-bi-bo-wu-guan-costa-lopes?ad_source=search&ad_medium=projects_tab
exterior.jpg,https://www.archdaily.cn/cn/796757/huo-bi-bo-wu-guan-costa-lopes?ad_source=search&ad_medium=projects_tab
exterior2.jpg,https://www.archdaily.cn/cn/796758/huo-bi-bo-wu-guan-costa-lopes?ad_source=search&ad_medium=projects_tab
birdview.jpg,https://www.archdaily.cn/cn/796759/huo-bi-bo-wu-guan-costa-lopes?ad_source=search&ad_medium=projects_tab
