project,https://www.museum.go.kr/site/eng/content/architecture_and_design
architects,Robert Siegel
city,Seoul
material,/
floorplan,https://www.archdaily.com/60867/the-national-museum-of-korean-contemporary-history-g-lab/07-33
Interior,https://tong.visitkorea.or.kr/cms/resource/11/2933311_image2_1.bmphttps://tong.visitkorea.or.kr/cms/resource/11/2933311_image2_1.bmp
facade,https://www.theseoulguide.com/wp-content/uploads/2021/10/national_museum_of_korea_seoul_korea.jpg
facade2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/d6/d4/30/late-night-opening-until.jpg?w=1200&h=-1&s=1
