project,https://www.archdaily.com/93091/lyon-housemuseum-lyons?ad_medium=gallery
architects,Lyons
city,Kew
material,plywood panels 
facade,https://images.adsttc.com/media/images/5013/1c61/28ba/0d06/5800/1126/slideshow/stringio.jpg?1414399277
floorplan,https://images.adsttc.com/media/images/5013/1c91/28ba/0d06/5800/1130/slideshow/stringio.jpg?1414399326
interior,https://images.adsttc.com/media/images/5013/1c41/28ba/0d06/5800/111f/slideshow/stringio.jpg?1414399293
interior2,https://images.adsttc.com/media/images/5013/1c71/28ba/0d06/5800/1129/slideshow/stringio.jpg?1414399285
