project,https://www.archdaily.com/984316/istanbul-painting-and-sculpture-museum-eaa-emre-arolat-architecture?ad_source=search&ad_medium=projects_tab
architects,EAA - Emre Arolat Architecture
city,istanbul
material,concrete
floorplan,https://images.adsttc.com/media/images/62b9/e09d/5bd3/9d01/6698/5c2c/slideshow/current-site-plan-26.jpg?1656348859
facade,https://images.adsttc.com/media/images/62b9/e042/5bd3/9d01/6698/5c22/slideshow/istanbul-painting-and-sculpture-museum-eaa-emre-arolat-architecture_17.jpg?1656348779
interior,https://images.adsttc.com/media/images/62b9/e044/5bd3/9d01/6698/5c26/slideshow/istanbul-painting-and-sculpture-museum-eaa-emre-arolat-architecture_14.jpg?1656348765
birdview,https://images.adsttc.com/media/images/62b9/e043/6d8a/4201/6613/4bc2/slideshow/istanbul-painting-and-sculpture-museum-eaa-emre-arolat-architecture_20.jpg?1656348807
